,date,open,high,low,close,volume
1294,2022-07-18,20786.76,22760.04,20757.29,22435.04,4288.35687434
1295,2022-07-19,22439.63,23800.0,21578.45,23405.02,4682.35297064
1296,2022-07-20,23392.04,24280.3,22893.95,23208.53,4052.68459237
1297,2022-07-21,23217.0,23430.33,22340.34,23163.34,2267.47408756
1298,2022-07-22,23166.09,23760.87,22512.42,22682.26,2025.58385843
1299,2022-07-23,22696.19,23005.68,21944.47,22468.69,1010.85783614
1300,2022-07-24,22468.7,23006.77,22272.23,22595.81,681.19673676
1301,2022-07-25,22589.47,22673.68,21250.0,21306.56,2128.78016831
1302,2022-07-26,21314.26,21344.09,20700.13,21259.78,1965.57798404
1303,2022-07-27,21266.14,23112.9,21047.7,22969.04,2976.18882906
1304,2022-07-28,22972.22,24198.95,22600.0,23853.11,3463.79018298
1305,2022-07-29,23856.91,24445.0,23438.5,23785.31,2536.49166787
1306,2022-07-30,23777.85,24676.0,23523.29,23644.58,1739.57494563
1307,2022-07-31,23652.53,24190.09,23241.0,23322.53,1624.15172546
1308,2022-08-01,23287.38,23511.5,22861.0,23282.92,1310.17180502
1309,2022-08-02,23291.67,23468.33,22665.98,23001.52,1441.50641868
1310,2022-08-03,22997.07,23642.14,22686.12,22835.88,1306.29502305
1311,2022-08-04,22830.37,23228.77,22400.0,22615.24,1537.96629545
1312,2022-08-05,22630.14,23478.0,22587.94,23326.4,2070.35989801
1313,2022-08-06,23326.5,23354.54,22919.76,22956.61,672.14529689
1314,2022-08-07,22946.0,23411.55,22855.14,23187.62,691.3833738
1315,2022-08-08,23177.72,24246.06,23169.64,23821.68,1845.04091771
1316,2022-08-09,23811.29,23927.44,22880.22,23164.78,1206.11169091
1317,2022-08-10,23151.68,24228.0,22668.57,23964.0,2251.388441
1318,2022-08-11,23961.0,24921.0,23867.0,23959.0,1964.2043205
1319,2022-08-12,23957.0,24459.0,23615.0,24407.0,1258.79271631
1320,2022-08-13,24421.0,24900.0,24301.0,24456.0,891.42169723
1321,2022-08-14,24459.0,25053.0,24161.0,24320.0,1360.86975366
1322,2022-08-15,24324.0,25212.0,23782.0,24110.0,1764.96054871
1323,2022-08-16,24103.0,24250.0,23673.0,23867.0,761.78640254
1324,2022-08-17,23866.0,24448.0,23176.0,23340.0,1814.51630224
1325,2022-08-18,23348.0,23593.0,23103.0,23201.0,888.93580166
1326,2022-08-19,23192.0,23202.0,20785.0,20841.0,3558.4209748
1327,2022-08-20,20840.0,21368.0,20769.0,21146.0,1475.27766281
1328,2022-08-21,21150.0,21778.0,21070.0,21514.0,1070.7625595
1329,2022-08-22,21517.0,21530.0,20901.0,21411.0,1428.98968096
